[Mon Oct 22 11:41:27.280377 2018] [:error] [pid 8945] [client 77.251.68.96:10286] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Mon Oct 22 17:57:20.037129 2018] [:error] [pid 11478] [client 141.8.132.15:60848] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Mon Oct 22 17:57:20.038045 2018] [:error] [pid 11478] [client 141.8.132.15:60848] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Mon Oct 22 17:57:20.038248 2018] [:error] [pid 11478] [client 141.8.132.15:60848] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 00:13:47.943260 2018] [:error] [pid 12928] [client 207.46.13.19:11874] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 00:13:47.944330 2018] [:error] [pid 12928] [client 207.46.13.19:11874] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 00:13:47.944552 2018] [:error] [pid 12928] [client 207.46.13.19:11874] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 02:40:36.479470 2018] [:error] [pid 12950] [client 43.255.152.4:59444] script '/home/charles/bondecampe/wp-login.php' not found or unable to stat
[Tue Oct 23 03:14:56.915263 2018] [:error] [pid 13861] [client 178.154.171.53:40189] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 03:14:56.916240 2018] [:error] [pid 13861] [client 178.154.171.53:40189] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 03:14:56.916459 2018] [:error] [pid 13861] [client 178.154.171.53:40189] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 03:33:33.989684 2018] [:error] [pid 13857] [client 37.9.113.67:41173] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 03:33:33.990586 2018] [:error] [pid 13857] [client 37.9.113.67:41173] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 03:33:33.990797 2018] [:error] [pid 13857] [client 37.9.113.67:41173] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 08:36:17.709564 2018] [:error] [pid 18287] [client 46.229.168.130:53550] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 08:36:17.711494 2018] [:error] [pid 18287] [client 46.229.168.130:53550] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 46
[Tue Oct 23 08:36:17.711732 2018] [:error] [pid 18287] [client 46.229.168.130:53550] PHP Notice:  Undefined variable: ub in /home/charles/bondecampe/include.php on line 58
[Tue Oct 23 11:22:00.819184 2018] [:error] [pid 19010] [client 82.240.205.105:53478] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28
[Tue Oct 23 11:22:02.342733 2018] [:error] [pid 19005] [client 82.240.205.105:53479] PHP Warning:  fopen(stats.csv): failed to open stream: Permission denied in /home/charles/bondecampe/index.php on line 28, referer: http://bondecampe.5tfu.org/
[Tue Oct 23 11:22:02.343409 2018] [:error] [pid 19005] [client 82.240.205.105:53479] PHP Notice:  Undefined variable: first in /home/charles/bondecampe/index.php on line 215, referer: http://bondecampe.5tfu.org/
[Tue Oct 23 11:22:20.040129 2018] [:error] [pid 18737] [client 82.240.205.105:53505] PHP Warning:  ZipArchive::close(): Failure to create temporary file: Permission denied in /home/charles/bondecampe/zip.php on line 66, referer: http://bondecampe.5tfu.org/album/2018-BO.php
